zip,latitude,longitude,county,state,year,total_pop,male_pop,pct_male,female_pop,pct_female,total_employable_pop,full_time_employed_pop,pct_full_time_employed_pop,total_households,household_median_income,insurable_pop,insured_pop,pct_insured,uninsured_pop,adi_state_rank,adi_natl_rank,ca_doi_underserved_flag,tapestry_seg_nr,tapestry_seg_code,tapestry_seg_name,lifemode_code,lifemode_group,as_only,ed_only,inpatient,inpatient_from_ed,opioid_rx_count,pop_w_opioid_rx,tot_opioid_rx_fills,alz,can,cld,dia,htd,hyp,inj,liv,nep,oth,pnf,stk,sui,total_deaths,total_deaths_per_1000,alzheimers_deaths_per_1000,cancer_deaths_per_1000,clrd_deaths_per_1000,diabetes_deaths_per_1000,heart_disease_deaths_per_1000,hypertension_deaths_per_1000,accidental_deaths_per_1000,chronic_liver_disease_deaths_per_1000,nephrotic_diseases_deaths_per_1000,other_deaths_per_1000,pneumonia_and_influenza_deaths_per_1000,stroke_deaths_per_1000,suicide_deaths_per_1000,c2,c3,c4,c2_c4,as_per_1000,ed_per_1000,ip_per_1000,ip_via_ed_per_1000,c2_per_1000,c3_per_1000,c4_per_1000,c2_c4_per_1000,opioid_rx_per_1000,pop_w_opioid_rx_per_1000
90001,33.974027,-118.249509,Los Angeles,CA,2016,57942,29520,50.9,28422,49.1,37501,15020,61.9,13594,34323,57935,44211,76.3,13724,8.007138001,45.79401768,Y,61,13B,Las Casas,13,Next Wave,1798,24554,3628,3286,7879,4202,7717,5,39,7,14,77,9,21,13,4,49,4,12,3,257,4.435469953,0.08629319,0.67308688,0.120810466,0.241620931,1.328915122,0.155327742,0.362431397,0.224362293,0.069034552,0.845673259,0.069034552,0.207103655,0.051775914,843,201,1710,2754,31.03103103,423.7685962,62.61433848,56.7118843,14.54903179,3.468986228,29.51227089,47.53028891,135.9808084,72.52079666
90002,33.949099,-118.246737,Los Angeles,CA,2016,51826,24877,48,26949,52,33749,12093,59.3,12543,32520,51826,39186,75.6,12640,8.125497288,50.51754069,Y,61,13B,Las Casas,13,Next Wave,1661,25168,3421,3314,10927,5072,10701,6,58,12,18,67,6,11,8,8,48,8,19,4,273,5.267626288,0.115772006,1.119129395,0.231544013,0.347316019,1.292787404,0.115772006,0.212248678,0.154362675,0.154362675,0.926176051,0.154362675,0.366611353,0.077181338,357,767,1059,2183,32.04955042,485.6249759,66.00933894,63.94473816,6.888434377,14.79952148,20.43375912,42.12171497,210.8401189,97.86593602
90003,33.964131,-118.272783,Los Angeles,CA,2016,70208,33953,48.4,36255,51.6,45068,16965,61.3,16496,31878,70208,52204,74.4,18004,7.972540046,46.90675057,Y,61,13B,Las Casas,13,Next Wave,2111,32061,4610,4648,12814,6073,12512,7,71,11,12,101,7,24,10,6,80,9,18,4,360,5.127620784,0.099703737,1.011280766,0.156677302,0.170920693,1.438582498,0.099703737,0.341841386,0.142433911,0.085460346,1.139471285,0.12819052,0.256381039,0.056973564,1329,259,2440,4028,30.06779854,456.657361,65.66203282,66.20328168,18.92946673,3.689038286,34.7538742,57.37237922,182.5148131,86.50011395
90004,34.076198,-118.310722,Los Angeles,CA,2016,63095,31141,49.4,31954,50.6,45646,21540,63.7,22431,43180,63059,47278,75,15781,4.238018703,28.20017534,Y,60,13A,International Marketplace,13,Next Wave,2115,15820,2751,2639,7149,3987,6832,14,77,14,9,73,9,13,5,5,28,22,15,5,289,4.580394643,0.22188763,1.220381964,0.22188763,0.142642048,1.156985498,0.142642048,0.206038513,0.079245582,0.079245582,0.44377526,0.348680561,0.237736746,0.079245582,3582,1707,5002,10291,33.52088121,250.7330216,43.60091925,41.82581821,56.77153499,27.05444171,79.27728029,163.103257,113.3053332,63.19042713
90005,34.059163,-118.306892,Los Angeles,CA,2016,39338,19592,49.8,19746,50.2,28125,14861,70.1,16086,31485,39338,26087,66.3,13251,7.225922592,57.77587759,Y,62,13C,NeWest Residents,13,Next Wave,1107,8650,1579,1488,4292,2342,4188,8,42,5,7,49,4,6,2,0,26,10,9,2,170,4.321521175,0.203365702,1.067669937,0.127103564,0.17794499,1.245614927,0.101682851,0.152524277,0.050841426,0,0.660938533,0.254207128,0.228786415,0.050841426,439,1403,1434,3276,28.14072907,219.8891657,40.13930551,37.82602064,11.15969292,35.66526005,36.45330215,83.27825512,109.1056993,59.53530937
90006,34.048041,-118.294177,Los Angeles,CA,2016,61230,30807,50.3,30423,49.7,42286,21713,72,19474,31993,60753,39321,64.7,21432,7.280192308,52.82423077,Y,60,13A,International Marketplace,13,Next Wave,1894,16855,3081,2934,6318,3646,6097,12,55,10,14,79,4,15,11,5,41,17,18,6,287,4.687244815,0.195982362,0.898252491,0.163318635,0.228646089,1.290217214,0.065327454,0.244977952,0.179650498,0.081659317,0.669606402,0.277641679,0.293973542,0.097991181,3317,1874,9548,14739,30.9325494,275.2735587,50.31847134,47.91768741,54.17279112,30.60591213,155.9366324,240.7153356,103.1847134,59.5459742
90007,34.028129,-118.284829,Los Angeles,CA,2016,41979,20802,49.6,21177,50.4,33197,7918,40,11672,22485,41979,35434,84.4,6545,8.546607483,71.90509406,Y,67,14C,Dorms to Diplomas,13,Next Wave,1123,11662,1618,1785,4643,2436,4526,2,34,3,8,24,3,10,1,3,29,6,13,1,137,3.26353653,0.047642869,0.809928774,0.071464304,0.190571476,0.571714429,0.071464304,0.238214345,0.023821435,0.071464304,0.690821601,0.142928607,0.309678649,0.023821435,1311,1234,3777,6322,26.75147097,277.8055695,38.54308106,42.52126063,31.22990066,29.39565021,89.97355821,150.5991091,110.6029205,58.02901451
90008,34.009552,-118.346724,Los Angeles,CA,2016,32060,14038,43.8,18022,56.2,21437,8830,60.1,14590,36134,32052,27053,84.4,4999,6.761102603,49.1345074,N,51,11A,City Strivers,13,Next Wave,1709,15038,2145,2352,10751,4351,10504,18,74,13,9,86,8,15,5,8,45,10,19,4,314,9.794135995,0.561447286,2.308172177,0.405489707,0.280723643,2.682470368,0.249532127,0.467872739,0.15595758,0.249532127,1.403618216,0.311915159,0.592638802,0.124766064,4378,699,7294,12371,53.30630069,469.0580162,66.90580162,73.36244541,136.5564566,21.80286962,227.510917,385.8702433,335.3399875,135.7142857
90010,34.062148,-118.315889,Los Angeles,CA,2016,3524,1773,50.3,1751,49.7,2821,1465,70.4,2041,47569,3524,2667,75.7,857,6.934090909,57.69090909,Y,12,3C,Trendsetters,3,Uptown Individuals,99,910,168,139,634,339,615,2,4,1,1,9,0,0,0,1,2,1,0,1,22,6.242905789,0.56753689,1.13507378,0.283768445,0.283768445,2.553916005,0,0,0,0.283768445,0.56753689,0.283768445,0,0.283768445,2890,1085,2156,6131,28.09307605,258.2292849,47.67309875,39.44381385,820.0908059,307.8887628,611.8047673,1739.784336,179.9091941,96.19750284
90011,34.00709,-118.258681,Los Angeles,CA,2016,104762,52020,49.7,52742,50.3,69304,28449,64.1,23258,31684,104611,72864,69.7,31747,7.86638893,42.85121262,Y,61,13B,Las Casas,13,Next Wave,2924,37729,6046,5520,12188,6520,11887,14,106,14,17,109,7,29,29,9,65,16,15,4,434,4.142723507,0.133636242,1.011817262,0.133636242,0.16227258,1.0404536,0.066818121,0.27681793,0.27681793,0.085909013,0.620453981,0.152727134,0.143181688,0.038181783,1334,691,3723,5748,27.91088372,360.1401271,57.71176572,52.69086119,12.73362479,6.595903095,35.53769497,54.86722285,116.3398942,62.23630706
